Frame_Index
0
1
2
3
4
5
8
9
10
11
12
13
14
15
16
17
18
19
20
22
23
25
26
82
84
86
89
90
91
92
93
94
95
96
99
100
101
103
108
109
110
117
119
120
121
122
123
125
127
128
129
130
133
134
136
137
140
141
145
146
147
149
151
153
159
166
260
303
308
310
