Frame_Pair,MSE,Inverse SSIM,LPIPS
284_vs_285,107.483030,0.081702,0.033663
285_vs_286,105.153222,0.082410,0.039485
286_vs_287,131.650837,0.090563,0.043432
287_vs_288,134.385406,0.097860,0.043004
288_vs_289,123.682114,0.085744,0.041340
289_vs_290,122.087200,0.091467,0.035502
290_vs_291,117.323849,0.098477,0.035452
291_vs_292,110.167123,0.108933,0.034553
292_vs_293,86.777270,0.107382,0.031755
293_vs_294,94.390533,0.111869,0.036104
294_vs_295,85.552922,0.089547,0.032035
295_vs_296,101.182281,0.108312,0.033334
296_vs_297,128.978550,0.139436,0.040843
297_vs_298,135.523881,0.137350,0.042134
298_vs_299,183.197998,0.146118,0.049117
299_vs_300,240.930062,0.173275,0.055783
300_vs_301,246.496644,0.188876,0.053804
301_vs_302,234.299237,0.184281,0.055006
302_vs_303,256.430691,0.171548,0.054261
303_vs_304,245.634537,0.162913,0.050478
304_vs_305,270.048031,0.158093,0.063849
305_vs_306,318.419402,0.134580,0.053413
306_vs_307,360.423511,0.123621,0.059294
307_vs_308,372.303241,0.136273,0.058631
308_vs_309,365.557886,0.150678,0.055925
309_vs_310,365.538582,0.151726,0.052061
310_vs_311,351.055270,0.125666,0.043396
311_vs_312,396.261391,0.120442,0.047512
312_vs_313,366.178139,0.130236,0.059961
313_vs_314,277.921584,0.120054,0.061348
314_vs_315,176.502108,0.127041,0.056314
315_vs_316,166.330409,0.118800,0.045538
316_vs_317,215.691217,0.096279,0.045089
317_vs_318,220.981846,0.074208,0.042976
318_vs_319,200.680016,0.065681,0.036997
319_vs_320,187.903319,0.084548,0.042156
320_vs_321,144.533640,0.088966,0.041785
321_vs_322,118.084412,0.072654,0.042406
322_vs_323,122.808376,0.076026,0.045222
323_vs_324,151.247730,0.098436,0.049531
324_vs_325,147.921607,0.100166,0.051464
325_vs_326,164.951350,0.093028,0.047843
326_vs_327,212.251040,0.105758,0.058106
327_vs_328,232.692724,0.126664,0.059905
328_vs_329,203.314788,0.115420,0.059000
329_vs_330,202.083908,0.126084,0.059028
330_vs_331,202.874390,0.122062,0.061128
331_vs_332,189.331805,0.099865,0.055831
332_vs_333,182.780737,0.085009,0.048448
333_vs_334,170.063267,0.079888,0.040333
334_vs_335,167.683261,0.078500,0.043554
335_vs_336,169.138910,0.087999,0.049529
336_vs_337,151.244439,0.080860,0.045949
337_vs_338,122.529017,0.065693,0.039840
338_vs_339,106.013295,0.060090,0.034847
339_vs_340,76.931731,0.052098,0.027554
340_vs_341,67.458538,0.068320,0.028548
341_vs_342,81.675282,0.101293,0.030751
342_vs_343,88.298789,0.111059,0.031562
343_vs_344,90.101673,0.104928,0.031885
344_vs_345,76.918967,0.084589,0.026984
345_vs_346,55.180228,0.060291,0.022823
346_vs_347,32.361076,0.034949,0.016768
347_vs_348,26.839529,0.033776,0.014824
348_vs_349,33.555954,0.039835,0.020138
