Frame_Pair,MSE,Inverse SSIM,LPIPS
493_vs_494,43.371727,0.044728,0.020272
494_vs_495,96.173382,0.049749,0.025700
495_vs_496,162.623747,0.052001,0.034206
496_vs_497,168.346722,0.048422,0.037418
497_vs_498,114.675139,0.052542,0.034527
498_vs_499,124.085424,0.054817,0.033386
499_vs_500,230.735822,0.061254,0.042399
500_vs_501,250.702852,0.065468,0.048684
501_vs_502,230.877806,0.077186,0.052869
502_vs_503,213.798290,0.076802,0.053595
503_vs_504,242.927811,0.092317,0.056298
504_vs_505,245.318967,0.115939,0.060171
505_vs_506,237.174866,0.128743,0.063567
506_vs_507,229.750208,0.110243,0.057971
507_vs_508,175.427492,0.073815,0.048357
508_vs_509,172.379479,0.075034,0.040791
509_vs_510,164.943935,0.064323,0.036455
510_vs_511,164.847444,0.052318,0.035203
511_vs_512,140.263979,0.040522,0.033631
512_vs_513,96.722846,0.043210,0.025305
513_vs_514,74.804225,0.042748,0.020677
514_vs_515,45.574575,0.031866,0.017005
515_vs_516,33.363309,0.026233,0.012672
516_vs_517,35.750735,0.036510,0.015587
517_vs_518,50.433487,0.041459,0.020042
518_vs_519,63.492095,0.028871,0.018381
519_vs_520,61.921986,0.028189,0.016840
520_vs_521,52.507868,0.039283,0.020635
521_vs_522,64.521242,0.040884,0.021673
522_vs_523,72.113753,0.035018,0.022686
523_vs_524,69.900550,0.032053,0.016187
524_vs_525,62.066281,0.028763,0.016145
525_vs_526,48.217271,0.021643,0.012438
526_vs_527,47.982401,0.026628,0.017053
527_vs_528,54.204956,0.027203,0.013112
528_vs_529,43.216397,0.022153,0.011356
529_vs_530,36.699602,0.018476,0.008347
530_vs_531,35.865995,0.020479,0.012173
531_vs_532,44.648900,0.027986,0.013920
532_vs_533,40.143181,0.049506,0.032600
533_vs_534,27.895248,0.036482,0.016406
534_vs_535,26.080538,0.032085,0.012893
535_vs_536,26.813212,0.021277,0.009922
536_vs_537,36.936432,0.025801,0.012380
537_vs_538,47.285619,0.031480,0.018030
538_vs_539,65.466286,0.039082,0.020809
539_vs_540,74.658441,0.041645,0.021381
540_vs_541,70.069032,0.038912,0.020236
541_vs_542,79.013045,0.033149,0.020969
542_vs_543,71.765274,0.031474,0.021937
543_vs_544,82.154951,0.047720,0.026989
544_vs_545,100.597656,0.056901,0.025280
545_vs_546,100.757452,0.041935,0.024804
546_vs_547,102.040699,0.040122,0.025285
547_vs_548,86.442881,0.049742,0.026171
548_vs_549,83.506939,0.053535,0.028831
549_vs_550,69.490061,0.040433,0.025423
550_vs_551,57.350282,0.033591,0.018878
551_vs_552,54.435341,0.036821,0.017840
552_vs_553,45.672781,0.032486,0.016113
553_vs_554,55.486552,0.043747,0.020308
554_vs_555,65.377727,0.051255,0.022874
555_vs_556,54.782623,0.044235,0.021000
556_vs_557,39.087283,0.027114,0.013307
557_vs_558,37.580834,0.025667,0.015095
558_vs_559,50.570812,0.035739,0.017492
559_vs_560,60.321366,0.035526,0.018625
560_vs_561,54.510873,0.030463,0.017271
561_vs_562,39.567137,0.025091,0.012487
562_vs_563,31.784084,0.021033,0.010859
563_vs_564,27.977265,0.020409,0.010565
564_vs_565,30.438734,0.023718,0.012105
565_vs_566,35.337990,0.035809,0.018949
566_vs_567,33.217816,0.031878,0.016679
567_vs_568,28.844087,0.025250,0.014018
568_vs_569,24.879664,0.018989,0.011528
569_vs_570,22.279928,0.016235,0.009043
570_vs_571,24.483903,0.021721,0.012880
571_vs_572,26.593080,0.025694,0.013526
572_vs_573,36.565445,0.032972,0.016256
573_vs_574,50.269476,0.038521,0.020101
574_vs_575,53.591762,0.022746,0.014063
575_vs_576,51.945386,0.028580,0.016257
576_vs_577,42.905367,0.028812,0.014492
577_vs_578,40.434819,0.030646,0.016442
578_vs_579,31.629872,0.025248,0.013151
579_vs_580,22.196205,0.022183,0.011803
580_vs_581,24.763688,0.016271,0.011479
581_vs_582,31.869739,0.012238,0.009079
582_vs_583,42.023488,0.012961,0.009835
583_vs_584,33.554743,0.018013,0.011330
584_vs_585,39.947092,0.029976,0.016370
585_vs_586,49.853768,0.026118,0.017717
586_vs_587,83.819721,0.027367,0.017091
587_vs_588,95.600938,0.028423,0.020766
588_vs_589,85.886252,0.031199,0.020517
589_vs_590,78.790329,0.028121,0.018269
590_vs_591,71.091550,0.025792,0.018771
591_vs_592,59.583270,0.024681,0.015632
592_vs_593,67.522823,0.030123,0.019781
593_vs_594,70.385378,0.034007,0.020389
594_vs_595,80.602727,0.032101,0.019688
595_vs_596,84.410901,0.034751,0.019896
596_vs_597,82.424029,0.035053,0.019011
597_vs_598,87.661742,0.036513,0.022134
598_vs_599,74.935845,0.037294,0.025878
599_vs_600,73.619855,0.036275,0.022723
600_vs_601,75.242862,0.040786,0.024467
601_vs_602,76.113517,0.052147,0.024619
602_vs_603,74.082420,0.049997,0.024952
603_vs_604,76.586321,0.042122,0.020442
604_vs_605,95.578560,0.044780,0.019019
605_vs_606,95.632031,0.060045,0.025058
606_vs_607,79.187458,0.053718,0.024199
607_vs_608,98.055210,0.052656,0.026347
608_vs_609,125.602695,0.067457,0.041720
609_vs_610,129.013878,0.059204,0.030187
610_vs_611,150.367844,0.066671,0.037221
611_vs_612,200.976350,0.076857,0.050217
612_vs_613,223.914012,0.087439,0.058545
613_vs_614,261.261622,0.096039,0.062359
614_vs_615,263.194004,0.096989,0.061137
615_vs_616,236.438434,0.094114,0.058515
616_vs_617,198.050675,0.089240,0.059749
617_vs_618,208.229563,0.119745,0.059657
618_vs_619,207.440514,0.139572,0.060941
619_vs_620,195.304091,0.136971,0.059952
620_vs_621,196.671940,0.155366,0.057847
621_vs_622,239.289497,0.191041,0.069363
622_vs_623,266.285628,0.206615,0.073823
623_vs_624,340.763508,0.228381,0.094312
624_vs_625,357.803458,0.242007,0.097477
625_vs_626,386.251863,0.256956,0.119531
626_vs_627,513.418154,0.271400,0.145455
627_vs_628,589.051932,0.268082,0.144455
628_vs_629,603.672938,0.263409,0.136117
629_vs_630,602.076068,0.266898,0.135806
630_vs_631,568.323955,0.239593,0.133195
631_vs_632,533.864238,0.228806,0.119377
632_vs_633,553.806407,0.248020,0.130595
633_vs_634,607.121108,0.260652,0.136385
634_vs_635,654.293047,0.274140,0.150051
635_vs_636,703.715884,0.278425,0.155570
636_vs_637,653.208645,0.255679,0.146417
637_vs_638,644.909625,0.278586,0.161683
638_vs_639,675.896519,0.282828,0.163186
639_vs_640,716.748345,0.267710,0.176596
640_vs_641,1140.246685,0.273753,0.235561
641_vs_642,1378.142469,0.273343,0.252134
642_vs_643,1345.663175,0.260366,0.208748
643_vs_644,996.528033,0.255223,0.186745
644_vs_645,919.971232,0.242771,0.191870
645_vs_646,556.488300,0.203337,0.144523
646_vs_647,528.923659,0.185294,0.121886
647_vs_648,580.512717,0.190916,0.139300
